"TestSubject" "ActivityName" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-meanFreq()-Y" "fBodyAccJerk-meanFreq()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-meanFreq()-Y" "fBodyGyro-meanFreq()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyAccMag-meanFreq()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyAccJerkMag-meanFreq()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()" "fBodyBodyGyroJerkMag-meanFreq()"
1 "LAYING" 0.2765652042 -0.015772842458298 -0.1101905651 -0.7317478652 -0.686205317 -0.7241529446 0.0464743012 0.3018681658 0.506398556052 -0.9777416076 -0.9888018322 -0.9731633266 0.07752524998 0.009958347168 -0.01084482260602 -0.7297977034 -0.652276558893 -0.7567140818 -0.0564169504316 -0.06789290267 0.11366159914 -0.8388990292 -0.8567096066 -0.7042197718 -0.08634447505 -0.040187515134 -0.065173114728 -0.8240521854 -0.8908647122 -0.7694612338 -0.6964293538 -0.7612183784 -0.6964293538 -0.7612183784 -0.7000248448 -0.7021917964 -0.7622851584 -0.8144304878 -0.8491544838 -0.8726660544 -0.7208376572 -0.66672748632 -0.7296876264 -0.7363485072 -0.7166001432 -0.7428191798 -0.166957391044 0.23596074964 0.33245559786 -0.7409643698 -0.68864464676 -0.7515255894 -0.7424033244 -0.636211706648 -0.7604401868 -0.05945754385 -0.047184744256 0.03014777968 -0.8048237964 -0.8609853178 -0.7352844742 -0.8499026492 -0.8552840562 -0.7218535216 0.051533397938 0.10393418721 0.112638589764 -0.734184442 -0.8148662964 0.40778031036 -0.7057398238 -0.6993441005 0.27741967191 -0.8382594626 -0.8306678552 0.235311757426 -0.8773366712 -0.875216745 0.2899059769
1 "SITTING" 0.270618906595745 -0.0195281630702128 -0.108843285297872 -0.981178202340426 -0.956711810638298 -0.964154221914894 0.463535508723404 0.21659896912766 0.18948695893617 -0.975791759361702 -0.971840148510638 -0.965921070851064 0.0760680647787234 0.0114917260319149 -0.00270443731085106 -0.985715164255319 -0.982184642553191 -0.984487423191489 -0.0316440875085957 -0.0747586603829787 0.0962627660638298 -0.980439806808511 -0.97804760787234 -0.974682473404255 -0.100050691170213 -0.0384023801489362 -0.0567192357617021 -0.987023435319149 -0.987200667234043 -0.988676032340426 -0.964135310851064 -0.962725678510638 -0.964135310851064 -0.962725678510638 -0.98547492106383 -0.983028432765957 -0.962997279148936 -0.964000298297872 -0.989464454680851 -0.986230710638298 -0.982212737446808 -0.964281566382979 -0.972217627234043 -0.980896247021277 -0.955121784042553 -0.962148145319149 -0.0290264487595745 0.102621251282979 0.228243336234043 -0.985532151489362 -0.982151081914894 -0.982681378085106 -0.987270387659574 -0.983592598510638 -0.984805188723404 0.175251363006383 0.0582910057723404 0.0391545529723404 -0.976983377446809 -0.979439571702128 -0.975693310851064 -0.98158254893617 -0.977567801276596 -0.97674071212766 0.15177043407234 -0.0098520168425532 0.139479642808511 -0.971335897446808 -0.96358297106383 0.106092936297872 -0.982655502553191 -0.982506920425532 0.345492528489362 -0.973078309361702 -0.964414250212766 0.0514141419925532 -0.987018464893617 -0.985864185106383 0.333618576425532
1 "STANDING" 0.273516985169811 -0.0116340291645283 -0.112874445245283 -0.934949167735849 -0.86426809245283 -0.890552483584906 0.158723794339623 0.338152949396226 0.554000722339623 -0.918438612264151 -0.933060459549057 -0.916181377924528 0.0806759021509434 -0.00282499352716981 -0.0103250721860377 -0.958124299433962 -0.933202717735849 -0.960550086415094 -0.0313711431471698 -0.0895810905849057 0.114852067650943 -0.94058938754717 -0.92053839 -0.897431728679245 -0.10077303645283 -0.0387554812581132 -0.0677527832169811 -0.960375679056604 -0.962755723962264 -0.965293701698113 -0.895288747924528 -0.860413366849057 -0.895288747924528 -0.860413366849057 -0.957943290754717 -0.934902864716981 -0.896620135660377 -0.875374486981132 -0.969589247924528 -0.953435453773585 -0.941304525660377 -0.885983700566038 -0.922236959245283 -0.932925323962264 -0.862687331698113 -0.883481189056604 -0.252002059485264 -0.046068578309434 -0.0163455105471698 -0.956816312641509 -0.93167103509434 -0.954773260943396 -0.963687441698113 -0.940363077924528 -0.965190159811321 0.0877237510113208 -0.172451268730189 -0.0517429069433962 -0.935325257735849 -0.930676424528302 -0.91075076490566 -0.942762778867924 -0.916113245660377 -0.903502207358491 -0.131314532897925 -0.270980022013208 -0.131540639107547 -0.893941862830189 -0.86629904945283 -0.131546269601887 -0.939130857169811 -0.929161635660377 0.0898632418679245 -0.911345420377358 -0.875465340943396 -0.185026403296226 -0.957267380943396 -0.951874900188679 -0.0269333276415094
1 "WALKING" 0.247200193642105 -0.0233182518463158 -0.0930450283894737 -0.826329486 -0.697545387063158 -0.77600016552 0.550575239547368 0.111004015705263 0.297227207541053 -0.943757340421053 -0.923422339873684 -0.931266859368421 0.0729633285789474 0.00998333720673684 -0.0209055474101895 -0.823703602833684 -0.776332197438947 -0.889909072947368 -0.0260585704284211 -0.0813959911936842 0.0981720203031579 -0.844831509378947 -0.79247789888421 -0.825883936736842 -0.0944218690842105 -0.0492472368894737 -0.0550479146736842 -0.827959209052632 -0.867853557789474 -0.869067505473684 -0.758201627515789 -0.755206764021053 -0.758201627515789 -0.755206764021053 -0.824003557242105 -0.811784151347368 -0.772722088768421 -0.764149351073684 -0.862438619578947 -0.859038921578947 -0.824411287052632 -0.728297660867368 -0.814111385473684 -0.827641894947368 -0.702221132089684 -0.773857080452632 -0.0731514762072632 0.0872440239178947 0.169306006197895 -0.835778056947368 -0.793544573242105 -0.878227060421053 -0.827031971378947 -0.773051928766316 -0.900210314105263 0.123857476975789 -0.0811649210410526 0.0363419996210526 -0.811806736108421 -0.812857160673684 -0.815175428736842 -0.855946284210526 -0.782893798672632 -0.846114284315789 0.0118164262831579 -0.0689428720852632 0.0297140103821053 -0.772121071326316 -0.788221072378947 0.186990789810526 -0.808080967168421 -0.817523730810526 0.300242618409474 -0.794893736796842 -0.78630673231579 -0.00179644375515789 -0.861863976736842 -0.865712438421053 0.243566675410526
1 "WALKING_DOWNSTAIRS" 0.281707664285714 -0.0214017369469388 -0.101611948755102 -0.328138424730612 0.00224500853061225 0.0522808577577551 0.790747667755102 -0.228629579795918 -0.326577079183673 -0.958999687959184 -0.938475267346939 -0.918494819591837 0.0690317801034694 0.0199250718653061 0.0147138745326531 -0.388503706599184 -0.252993088436735 -0.435320015918367 0.000451182493061227 -0.0909660355122449 0.040571201455102 -0.550200931632653 -0.116937723657143 -0.0421636760204082 -0.109235152977143 -0.0522346696510204 -0.0499416899081633 -0.611706112244898 -0.54574264244898 -0.356864756281633 -0.123140777081633 -0.190665910857143 -0.123140777081633 -0.190665910857143 -0.331833332081633 -0.315567191528367 -0.129353840612245 -0.241874401102041 -0.512219764693878 -0.578007733469388 -0.353363367630612 -0.0826383777959184 -0.144515926606122 -0.319108493034694 -0.0203034185510204 0.0698027939104082 -0.411431905918367 -0.148874623002041 -0.161233393183673 -0.407944824110204 -0.273336599244898 -0.375323311532653 -0.423292779263265 -0.283653841632653 -0.494570383265306 -0.28732128044898 -0.367000632673469 -0.335797237795918 -0.486757283469388 -0.269320354959184 -0.0718659885510204 -0.572796040816327 -0.0434402610997959 -0.123614257218367 -0.190538828653061 -0.385292970489796 -0.283989896412245 -0.200465385489796 -0.311509446257143 -0.0632149456795918 -0.322528498479592 -0.311241452632653 0.0600704047632653 -0.341932752897959 -0.306446010288163 -0.0747175087020408 -0.573437276734694 -0.615103659591837 0.0550099021020408
1 "WALKING_UPSTAIRS" 0.283748648113208 -0.0181300264977358 -0.111971054358491 -0.276622918301887 0.0211292041886792 -0.448482609527925 0.618881680566038 0.0470928388679245 0.0474414620467925 -0.971790186792453 -0.962020473018868 -0.948564759056604 0.0928699823773585 -0.0111148862264151 -0.0110251911207547 -0.243962072667925 -0.0811504378056604 -0.426479776415094 -0.0728955162792453 -0.0523342784018868 0.0821805341679245 -0.440038797301887 -0.339973395226415 -0.373202678901887 -0.0744783617075472 -0.0328727400773585 -0.0477089676283019 -0.111697940792453 -0.335363370792453 -0.113345764477358 -0.18963074390566 -0.233221707358491 -0.18963074390566 -0.233221707358491 -0.225641916320755 -0.153435609358491 -0.288145075037736 -0.301954144016981 -0.258674257245283 -0.271227889169811 -0.233103491773585 0.016416996 -0.400531150584906 -0.297063926792453 -0.0419873679245283 -0.526908669886792 -0.255105650566038 0.138431171369811 0.366458009273585 -0.264018760811321 -0.160521898369811 -0.383930566320755 -0.291355213541509 -0.0564755249471698 -0.467280772433962 -0.179196886286792 -0.341358022167925 0.0685226563186793 -0.183944062101887 -0.319406549018868 -0.185396136939623 -0.526604323509434 -0.358560206792453 -0.506957946415094 0.168879819849057 0.125052903116981 0.337235753754717 -0.174431494169811 -0.389022811301887 0.205419832839623 -0.1345884349 -0.184021745301887 0.021481373854717 -0.236633142283019 -0.483675724045283 0.369904524981132 -0.276359210641509 -0.316817388226415 0.178117033075849
2 "LAYING" 0.26205738625 -0.00887547472229167 -0.0915234207291667 -0.96838446875 -0.921063257083333 -0.928672183125 0.898692975229167 -0.105370045729167 0.00542332012645833 -0.960047600208333 -0.954451813958333 -0.936060613333333 0.0830121799583333 -0.00583730290208333 -0.00221789641666667 -0.971693286041667 -0.964061155833333 -0.965400083958333 -0.0299583886810417 -0.0683473490833333 0.08779985525 -0.9367185525 -0.931348583125 -0.937172189583333 -0.0959977586458333 -0.04556440956875 -0.04691187125 -0.958320587916667 -0.9572618225 -0.966907519375 -0.9368821725 -0.919579755625 -0.9368821725 -0.919579755625 -0.970993657083333 -0.957325515625 -0.915643516875 -0.89515867375 -0.967042399375 -0.947292603125 -0.966892237916667 -0.932544998125 -0.942234947708333 -0.969222623125 -0.919815171458333 -0.9267049925 -0.105449248708333 -0.0212566355625 0.0125269585166667 -0.971584884375 -0.963577631041667 -0.960527805208333 -0.9745140525 -0.967396568541667 -0.96902607875 0.11149519651875 -0.161466752259792 -0.0670893403958333 -0.932390854166667 -0.934551524375 -0.937624169375 -0.939211313958333 -0.930452469583333 -0.942870008125 -0.1792691885625 -0.291390215833333 -0.10168032149375 -0.930635174166667 -0.925874689583333 -0.00382011075645833 -0.956876303333333 -0.956985195625 0.18178425471875 -0.914280669166667 -0.902242957083333 -0.175174305083333 -0.949003498333333 -0.948531959583333 0.0778089523825
2 "SITTING" 0.274938924565217 -0.0175063597804348 -0.11103736273913 -0.976719159347826 -0.922844761521739 -0.947304392608696 0.567513861304348 0.254605485628261 -0.0424493248478261 -0.98238524 -0.961857992391304 -0.965539464130435 0.0756407748913043 0.0128564248386957 0.00305034931952174 -0.970521473478261 -0.954165107173913 -0.977979419782609 -0.0327425671782609 -0.066379352876087 0.0889802168695652 -0.904129386304348 -0.952336761304348 -0.941580766521739 -0.0949166671521739 -0.0390684850586957 -0.0576032889478261 -0.963846531956522 -0.976787693695652 -0.970167213043478 -0.949001802173913 -0.945937591086957 -0.949001802173913 -0.945937591086957 -0.969588083695652 -0.965223503043478 -0.897335059565217 -0.879343868695652 -0.97382413673913 -0.971020279130435 -0.973158036304348 -0.934030470434783 -0.958864022173913 -0.978413053478261 -0.922316342391304 -0.945134885434783 -0.008247764045 0.0733966814891304 0.0384394559152174 -0.970536154565217 -0.954515397608696 -0.97416752173913 -0.973299723913043 -0.957210434565217 -0.980551275652174 0.132318293847826 -0.11306461173913 -0.0711994317226087 -0.907061500217391 -0.95725265326087 -0.943308236521739 -0.905155981304348 -0.95047123326087 -0.946584766956522 -0.0988855719369565 -0.128451014109348 -0.113886025019565 -0.952759563043478 -0.950427635217391 0.072356709423913 -0.964186127826087 -0.965447496086957 0.154158946478261 -0.921472923913043 -0.877043873478261 -0.148850434689783 -0.972135961304348 -0.971388105 -0.0311076248456522
2 "STANDING" 0.277079162222222 -0.0149016801462963 -0.111498511240741 -0.993996412592593 -0.97732517462963 -0.982361578333333 0.597139912407407 0.315021811851852 0.234890988722222 -0.993725304259259 -0.988791160740741 -0.983041151666667 0.0759239014074074 0.00828347921435185 0.00167726889162963 -0.991839583703704 -0.984293946666667 -0.991116426111111 -0.0289213284907407 -0.0690961721907407 0.0906475817407407 -0.990373581666667 -0.989647221481481 -0.982598476111111 -0.0977287248518519 -0.0398225916574074 -0.0566244906481481 -0.994050710185185 -0.994977907222222 -0.992835349259259 -0.986298155185185 -0.98539275 -0.986298155185185 -0.98539275 -0.990353041111111 -0.991890886111111 -0.982940082037037 -0.984482719074074 -0.995158696296296 -0.995316955 -0.992844268888889 -0.978228672962963 -0.986065266111111 -0.994567713148148 -0.977452129259259 -0.980981403703704 0.0396885688858704 0.142758045651852 0.232348984618519 -0.991929559814815 -0.984117703518519 -0.989601481481482 -0.992479407222222 -0.985706550925926 -0.99117810962963 0.238555523740741 -0.0301835181494444 0.0958202462481482 -0.989511174259259 -0.991024294074074 -0.984210701296296 -0.99073151962963 -0.988887776111111 -0.983689589074074 0.0832970893666667 -0.0600969154777778 0.0425366025475926 -0.987177756111111 -0.986020548518519 0.315487030601852 -0.991021457037037 -0.991976325555556 0.472911679074074 -0.988771145185185 -0.984377842777778 0.0763244040203704 -0.995332957777778 -0.995267417037037 0.277963776674074
2 "WALKING" 0.276619901694915 -0.0181360603762712 -0.107070245966102 -0.986779671186441 -0.956600062711864 -0.959620611186441 0.819830114237288 -0.196569558135593 0.141379225745763 -0.985328428983051 -0.973525776440678 -0.962723294237288 0.0757685099152542 0.0109689975 -0.000690378560847458 -0.98108384338983 -0.973564489152542 -0.98447217559322 -0.0326737270425424 -0.0833153597355932 0.0814299288745763 -0.977887980847458 -0.971213081016949 -0.958076469661017 -0.100865281440678 -0.0405030414271186 -0.0539815024915254 -0.98336412779661 -0.984588740508475 -0.973688906949153 -0.969858494237288 -0.961241901016949 -0.969858494237288 -0.961241901016949 -0.981773258474576 -0.978087240169492 -0.956390581864407 -0.952735206949153 -0.985199931186441 -0.97957481 -0.983752858644068 -0.960579598813559 -0.969734806779661 -0.988365093559322 -0.956608911525424 -0.956821232033898 0.112450436009492 0.085015161250678 0.103091695227119 -0.981046109830508 -0.973015948305085 -0.981520257288136 -0.982917021355932 -0.976285338135593 -0.986132459830508 0.3245801211 -0.0257626755166102 0.0584522290440678 -0.972790352711864 -0.973336946101695 -0.954837886271186 -0.979594748305085 -0.970268104576271 -0.963177489491525 0.014204621220339 -0.206511223440678 -0.0146506976477966 -0.966531131355932 -0.963701023728814 0.117240105201695 -0.978628206779661 -0.976333763050847 0.264059033149153 -0.961745696271186 -0.955075668644068 -0.082667662559322 -0.980336073728814 -0.979860545932203 0.180946956318644
